,hc_x,hc_y
630,37.53,110.62
724,108.28,135.31
3065,160.6,169.72
4055,35.11,91.0
14,90.66,133.88
29,153.95,209.01
49,177.33,114.14
805,103.18,161.86
928,152.13,180.6
1017,128.5,199.58
1175,54.22,128.62
1241,83.23,103.23
435,100.76,171.53
1396,172.82,73.57
989,153.12,60.37
1094,130.98,143.73
1733,107.41,155.21
1512,57.47,129.1
2699,103.06,87.89
3368,149.77,88.8
3851,147.9,150.38
4275,202.33,97.24
1959,126.75,180.6
2669,86.22,125.99
3215,80.21,100.21
3451,60.09,131.39
3195,128.84,186.63
3881,96.26,73.0
3865,64.93,120.78
4516,127.44,110.52
2719,105.49,172.92
2288,156.39,167.39
3205,104.99,131.81
3572,115.11,127.62
3819,113.62,145.51
2674,76.17,70.93
4098,175.58,168.42
3251,99.91,150.59
3792,91.79,163.79
3896,104.99,144.5
180,108.95,162.43
150,136.46,87.65
497,94.83,170.39
224,150.49,148.26
364,140.97,181.37
394,146.61,147.54
488,120.21,80.54
561,134.93,83.59
641,125.53,142.26
756,134.88,146.41
554,144.27,181.76
620,148.26,203.67
802,137.28,146.8
849,117.17,156.17
861,89.25,134.35
1274,182.65,129.78
1330,183.66,125.21
1362,112.6,149.57
895,152.69,149.93
1468,147.62,153.13
1639,126.31,182.57
1944,108.54,176.48
1707,92.44,151.18
1987,106.51,167.85
2822,135.95,143.48
3663,128.69,45.62
4004,170.24,82.4
3059,61.46,101.24
3023,132.09,179.16
3719,131.86,137.04
3855,159.72,154.82
3995,99.75,155.04
2041,155.92,151.28
2286,178.68,71.94
2501,90.29,150.88
3272,77.77,43.48
2586,101.71,153.93
