,index,PitchId,BatterId,PitcherId,PitcherHand,BatterSide,PitchCall,PitchType,ReleaseSpeed,PlateX,TrajectoryLocationY,PlateZ,StrikeZoneTop,StrikeZoneBottom,Balls,Strikes,VerticalBreak,InducedVerticalBreak,HorzBreak,VertApproachAngle,HorzApproachAngle,LaunchSpeed,LaunchAngle,LaunchSpinAxis,LaunchDirection,LaunchSpinRate,LandingPositionX,LandingPositionY,LandingPositionZ,barrel,Outs_Generated,PitchResult,slg,inning_outs,Inning,Inning_Top_Bottom,At_Bat_Num
64,68,69,14,2,R,R,called_strike,FF,93.8,-4.946304917335512,1.41666662693024,23.77057600021368,3.86569690704346,1.81155014038086,1,1,-1.47355592250824,13.0200448036194,7.293050050735476,-5.49424886703491,-2.5094268321991,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
65,69,70,14,2,R,R,ball,SL,85.5,14.876197814941442,1.41666662693024,9.056107521057132,3.76466035842896,1.7765064239502,1,2,-2.37123680114746,8.435443639755253,-3.50842881202698,-7.62421560287476,-5.39466762542725,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
66,70,71,14,2,R,R,single,CH,84.8,3.7954216003417924,1.41666662693024,22.7269892692566,3.54900002479553,1.62699997425079,2,2,-2.7068612575531,4.925645828247072,10.607449293136595,-7.01475715637207,-2.93611526489258,102.25,2.95,270.231201171875,6.94445514678955,664.811950683594,13.9784107208252,85.8447647094727,0.007281738333404,Other,0,Hit,1,0,2,Bottom,1
67,71,72,15,2,R,L,ball,FF,94.4,14.21961736679076,1.41666662693024,29.07818412780756,3.57999992370605,1.67999994754791,0,0,-1.46284580230713,12.99218130111696,9.703389644622805,-5.10045480728149,-3.93002033233643,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
68,72,73,15,2,R,L,ball,FF,93.8,-5.1378790140151915,1.41666662693024,44.72221469879148,3.6223292350769,1.67999994754791,1,0,-1.45018100738525,13.48810529708868,7.465229272842409,-3.80194568634033,-2.31871199607849,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
69,73,74,15,2,R,L,foul,FC,90.3,6.486170768737788,1.41666662693024,46.26232051849368,3.57500004768372,1.68099999427795,2,0,-2.00489163398743,9.149091482162472,-1.48669427633286,-4.0281229019165,-4.4607310295105,70.3,52.36,314.515899658203,170.463973999023,7734.9658203125,14.7785968780518,-199.907073974609,-0.0270446762442589,Other,0,Not In-Play,0,0,2,Bottom,1
70,74,75,15,2,R,L,double,CH,87.0,-6.360604047775272,1.41666662693024,29.732591629028278,3.57500004768372,1.68099999427795,2,1,-2.53319978713989,5.2328445911407435,11.652909994125372,-6.22217464447021,-1.90389180183411,104.29,8.24,228.509170532227,11.5285654067993,1502.83935546875,48.5369567871094,197.780044555664,0.0009902988094836,Other,0,Hit,2,0,2,Bottom,1
71,75,76,16,2,R,R,called_strike,SL,86.3,-4.044737935066224,1.41666662693024,19.54131174087528,3.36863660812378,1.50999999046326,0,0,-2.7429940700531,3.6156388521194396,-2.163299024105076,-7.22405958175659,-3.62394976615906,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
72,76,77,16,2,R,R,swinging_strike,SL,83.8,0.8081176578998568,1.41666662693024,13.760293006896958,3.31900000572205,1.51300001144409,0,1,-2.8631854057312,4.3908451795578,-1.156460970640182,-7.69348812103271,-4.05190134048462,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
73,77,78,16,2,R,R,ball,FF,94.6,11.508890390396123,1.41666662693024,12.84926319122316,3.35058903694153,1.56984901428223,0,2,-1.65228950977325,10.568409919738764,8.643074512481688,-6.61617088317871,-3.78650283813477,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
74,78,79,16,2,R,R,blocked_ball,CU,77.6,7.682616949081416,1.41666662693024,6.56488680839538,3.3656268119812,1.50999999046326,1,2,-4.23381042480469,-5.983890652656552,-10.239478111267093,-10.2061910629272,-5.27405452728271,0.0,None,,,,,,,Other,0,Not In-Play,0,0,2,Bottom,1
75,79,80,16,2,R,R,foul,FF,94.9,-11.133582115173336,1.41666662693024,31.48081111907964,3.31900000572205,1.51300001144409,2,2,-1.50346529483795,11.726160764694217,5.244185328483576,-4.68031406402588,-2.2876889705658,72.99,36.0,270.381286621094,158.11572265625,7805.60888671875,56.6373558044434,-226.972198486328,0.009288715198636,Other,0,Not In-Play,0,0,2,Bottom,1
76,80,81,16,2,R,R,strikeout,SL,87.6,10.057816743850704,1.41666662693024,5.435627460479736,3.31900000572205,1.51300001144409,2,2,-2.70200371742249,2.851000428199764,-2.5164213180542037,-8.2726583480835,-4.90443754196167,0.0,None,,,,,,,Other,1,Out,0,1,2,Bottom,1
